dataset,contrast,baseline,method,delta_Hit@1_pp,Hit@1_CI_low,Hit@1_CI_high,rescued,harmed,McNemar_p,delta_MRR_pp,MRR_CI_low,MRR_CI_high
AudioSet,"Selector | Direct, Fusion",F_Fusion,FS,0.38878895143039516,0.01740846051180874,0.7717750826901874,584,517,0.046644223495698724,-0.09704139246464016,-0.3366219786502255,0.1419496061754454
AudioSet,"Selector | AAKV, Fusion",TF,TFS_Final,1.5551558057215806,1.1141414727557593,1.996170138687402,914,646,1.2325043251433516e-11,0.6939018888562017,0.42181344531147485,0.965268356525457
AudioSet,AAKV vs RawTriple | Fusion+Selector,Raw-FS,TFS_Final,2.0600011605640343,1.5957755469158013,2.530174664887133,1043,688,1.3629560375476502e-17,1.5564204074383674,1.2393154446607888,1.8748963936016472
AudioSet,Full system vs Frozen-iKnow,I_iKnow,TFS_Final,2.0890152614170487,1.5957755469158013,2.593860616259502,1148,788,2.7822358075563715e-16,1.0317253056859998,0.727347897277513,1.3521007206880982
TUT2017,"Fusion | Direct, FixedRq",I_iKnow,F_Fusion,2.6495726495726495,1.8162393162393164,3.482905982905983,258,134,3.753554959192986e-10,1.7293169793169791,1.2730735314068646,2.175102174060507
TUT2017,"Fusion | AAKV, FixedRq",T_AAKV,TF,1.8803418803418803,0.9615384615384616,2.7991452991452994,289,201,8.147229094619853e-05,1.5324328449328446,1.0225103021978021,2.0375801282051276
TUT2017,"Fusion | Direct, Selector",S_Selector,FS,0.8974358974358974,0.1282051282051282,1.688034188034188,191,149,0.026034507883329516,0.2846967846967846,-0.1864507020757021,0.768605642043142
TUT2017,"Fusion | AAKV, Selector",TS,TFS_Final,3.4615384615384617,2.5,4.444444444444445,355,193,4.280987450666354e-12,2.1697954822954824,1.563897792022792,2.774905245217745
TUT2017,"AAKV | joint fusion, FixedRq",I_iKnow,T_AAKV,5.705128205128205,4.316239316239316,7.115384615384615,708,441,3.209263199184933e-15,2.6213624338624344,1.7775342134717136,3.4588694291819295
TUT2017,"AAKV | Fusion, FixedRq",F_Fusion,TF,4.935897435897436,3.6752136752136755,6.217948717948718,601,370,1.2104470501866996e-13,2.4244782994782996,1.67958301343718,3.1787236104944427
TUT2017,"AAKV | joint fusion, Selector",S_Selector,TS,6.474358974358975,5.020833333333334,7.948717948717948,751,448,1.8154337015859905e-18,2.9957010582010586,2.056745395807896,3.935392501017501
TUT2017,"AAKV | Fusion, Selector",FS,TFS_Final,9.038461538461538,7.64957264957265,10.427350427350428,762,339,5.715543939078351e-38,4.880799755799756,4.022351317663818,5.737893645706145
TUT2017,"Selector | Direct, joint fusion",I_iKnow,S_Selector,2.735042735042735,1.452991452991453,4.038995726495719,548,420,4.360976375302467e-05,1.540547415547416,0.7619460978835978,2.3165114977614976
TUT2017,"Selector | AAKV, joint fusion",T_AAKV,TS,3.5042735042735043,2.4786324786324787,4.52991452991453,377,213,1.4428654955028093e-11,1.91488603988604,1.3062678062678061,2.5192307692307696
TUT2017,"Selector | Direct, Fusion",F_Fusion,FS,0.9829059829059829,-0.0641025641025641,2.02991452991453,350,304,0.07838920571467206,0.09592722092722084,-0.5355762293262295,0.7232954352746018
TUT2017,"Selector | AAKV, Fusion",TF,TFS_Final,5.085470085470085,4.188034188034187,6.004273504273504,366,128,1.359808065105808e-27,2.552248677248677,2.016975096662597,3.0805612789987786
TUT2017,AAKV vs RawTriple | Fusion+Selector,Raw-FS,TFS_Final,8.376068376068375,7.02991452991453,9.67948717948718,716,324,1.2491028207321331e-34,5.571396196396196,4.685365329115329,6.426179896492397
TUT2017,Full system vs Frozen-iKnow,I_iKnow,TFS_Final,12.67094017094017,11.303418803418804,14.05982905982906,877,284,8.445776067152415e-71,6.706043956043957,5.903127543752544,7.525695080382581
