dataset,consensus_votes,vote_fraction_of_pool,n_samples,iKnow_Hit1,TFS_Hit1,delta_Hit1_pp,iKnow_MRR,TFS_MRR,delta_MRR_pp,wrong_to_correct,correct_to_wrong,net_rescued
FSD50K,40,0.851063829787234,321,66.35514018691589,72.89719626168224,6.5420560747663545,77.35071741679857,80.79048896404676,3.4397715472481836,30,9,21
FSD50K,41,0.8723404255319149,347,65.4178674351585,72.3342939481268,6.9164265129683,75.70563175399744,79.1891287245261,3.4834969705286714,32,8,24
FSD50K,42,0.8936170212765957,361,67.86703601108033,76.45429362880887,8.587257617728532,78.58606567786305,83.11548132223714,4.529415644374093,35,4,31
FSD50K,43,0.9148936170212766,369,74.79674796747967,77.50677506775068,2.710027100271003,81.63749565295073,82.9312109710563,1.293715318105562,16,6,10
FSD50K,44,0.9361702127659575,371,68.73315363881402,74.66307277628033,5.929919137466308,78.04616006848903,81.01111963722218,2.964959568733154,25,3,22
FSD50K,45,0.9574468085106383,452,75.0,80.53097345132744,5.530973451327434,82.13137498982557,85.30773402901646,3.176359039190898,29,4,25
FSD50K,46,0.9787234042553191,617,80.71312803889789,84.27876823338735,3.565640194489465,86.50214184557773,88.18636658895969,1.6842247433819557,24,2,22
FSD50K,47,1.0,1457,89.77350720658887,91.35209334248455,1.578586135895676,93.06057982398985,93.73350977402283,0.6729299500329908,24,1,23
AudioSet,11,0.23404255319148937,8,0.0,12.5,12.5,17.31565449237863,29.81565449237863,12.5,1,0,1
AudioSet,12,0.2553191489361702,18,5.555555555555555,11.11111111111111,5.555555555555555,19.496221602161317,21.004158110097826,1.5079365079365081,1,0,1
AudioSet,13,0.2765957446808511,61,13.114754098360656,11.475409836065573,-1.639344262295082,24.906759268755625,23.347944198292588,-1.5588150704630428,6,7,-1
AudioSet,14,0.2978723404255319,111,10.81081081081081,9.00900900900901,-1.8018018018018018,22.830622442607627,23.053241374903976,0.22261893229635157,6,8,-2
AudioSet,15,0.3191489361702128,149,8.053691275167784,12.751677852348994,4.697986577181208,20.50804037320311,23.41351451518149,2.9054741419783725,16,9,7
AudioSet,16,0.3404255319148936,253,16.600790513833992,11.462450592885375,-5.138339920948617,28.16739583635719,25.298599064398353,-2.868796771958827,10,23,-13
AudioSet,17,0.3617021276595745,322,9.627329192546584,10.869565217391305,1.2422360248447204,23.201250997228875,23.681252388544564,0.48000139131569214,22,18,4
AudioSet,18,0.3829787234042553,440,15.0,14.772727272727273,-0.22727272727272727,28.365284218059923,28.593229352404574,0.22794513434465552,25,26,-1
AudioSet,19,0.40425531914893614,441,15.873015873015872,16.780045351473923,0.9070294784580499,29.166075543241337,29.57605595908617,0.4099804158448304,36,32,4
AudioSet,20,0.425531914893617,526,12.927756653992395,13.11787072243346,0.19011406844106463,25.00808329382107,25.38151742200806,0.3734341281869801,39,38,1
AudioSet,21,0.44680851063829785,579,19.86183074265976,17.616580310880828,-2.2452504317789295,32.359089797749675,30.837009051427618,-1.5220807463220654,39,52,-13
AudioSet,22,0.46808510638297873,662,21.6012084592145,22.20543806646526,0.6042296072507553,34.09265982831767,34.164297746315604,0.0716379179979251,53,49,4
AudioSet,23,0.48936170212765956,674,20.474777448071215,22.403560830860535,1.9287833827893175,34.400441377840515,34.99758011263416,0.5971387347936484,59,46,13
AudioSet,24,0.5106382978723404,740,19.18918918918919,20.81081081081081,1.6216216216216217,32.25175570419026,32.82458287223765,0.5728271680473901,61,49,12
AudioSet,25,0.5319148936170213,684,17.690058479532166,20.760233918128655,3.070175438596491,31.35759253475102,32.83286277442482,1.4752702396737973,68,47,21
AudioSet,26,0.5531914893617021,632,20.88607594936709,24.050632911392405,3.1645569620253164,35.280319142539284,37.21589261119976,1.935573468660479,66,46,20
AudioSet,27,0.574468085106383,648,23.456790123456788,24.382716049382715,0.9259259259259258,37.006863672545634,37.27483025931531,0.26796658676967167,52,46,6
AudioSet,28,0.5957446808510638,603,18.407960199004975,21.724709784411278,3.316749585406302,33.36675093734271,35.43046095530321,2.0637100179605046,44,24,20
AudioSet,29,0.6170212765957447,616,22.564935064935064,23.214285714285715,0.6493506493506493,35.734543272241154,35.83705500696258,0.10251173472143674,47,43,4
AudioSet,30,0.6382978723404256,590,24.06779661016949,26.779661016949152,2.711864406779661,38.41443519240283,39.65705730987884,1.2426221174760044,47,31,16
AudioSet,31,0.6595744680851063,609,23.15270935960591,26.76518883415435,3.6124794745484397,37.20783299971537,39.32171386483701,2.11388086512164,48,26,22
AudioSet,32,0.6808510638297872,551,23.593466424682397,27.041742286751365,3.4482758620689653,37.561725112528336,39.480319222592506,1.9185941100641641,42,23,19
